,Resumen,texto_limpio,pred_baseline
409,"A semianalytical approach to the mercier criterion for some TJ-II configurations Skip to main INIS – International Nuclear Information System home Communities My dashboard Log in Published July 1991 | Version v1 Report Metadata-only A semianalytical approach to the mercier criterion for some TJ-II configurations Creators Varias, A. Fraguas, AL 1 Alejaldre, C. Dominguez, N. Carreras, B. Lynch, VE 2 Show affiliations 1. Asociacion EURATOM-CIEMAT, Madrid (Spain) 2. Oak Ridge National Lab., TN (United States) Description Short communication 2 refs Additional details Publishing Information Imprint Title 8. stellarator workshop Imprint Pagination 556 p. Journal Page Range p. 325. Report number INIS-mf--13744 Conference Title 8. international workshop on stellarators. Dates 27-31 May 1991. Place Kharkov (Ukraine). INIS Country of Publication International Atomic Energy Agency (IAEA) Country of Input or …",a semianalytical approach to the mercier criterion for some tjii configurations skip to main inis international nuclear information system home communities my dashboard log in published july version v report metadataonly a semianalytical approach to the mercier criterion for some tjii configurations creators varias a fraguas al alejaldre c dominguez n carreras b lynch ve show affiliations asociacion euratomciemat madrid spain oak ridge national lab tn united states description short communication refs additional details publishing information imprint title stellarator workshop imprint pagination p journal page range p report number inismf conference title international workshop on stellarators dates may place kharkov ukraine inis country of publication international atomic energy agency iaea country of input or,cs.DS
410,"Purpose
This paper aims to propose comparing the performance of three algorithms based on different population-based heuristics, particle swarm optimization (PSO), artificial bee colony (ABC) and method of musical composition (DMMC), for the districting problem.
Design/methodology/approach
In order to compare the performance of the proposed algorithms, they were tested on eight instances drawn from the Mexican electoral institute database, and their respective performance levels were compared. In addition, a simulated annealing-based (simulated annealing – SA) algorithm was used as reference to evaluate the proposed algorithms. This technique was included in this work because it has been used for Federal districting in Mexico since 1994. The performance of the algorithms was evaluated in terms of the quality of the approximated Pareto front and efficiency. Regarding solution quality, convergence …",purpose this paper aims to propose comparing the performance of three algorithms based on different populationbased heuristics particle swarm optimization pso artificial bee colony abc and method of musical composition dmmc for the districting problem designmethodologyapproach in order to compare the performance of the proposed algorithms they were tested on eight instances drawn from the mexican electoral institute database and their respective performance levels were compared in addition a simulated annealingbased simulated annealing sa algorithm was used as reference to evaluate the proposed algorithms this technique was included in this work because it has been used for federal districting in mexico since the performance of the algorithms was evaluated in terms of the quality of the approximated pareto front and efficiency regarding solution quality convergence,cs.AI
411,"Most multi-objective evolutionary algorithms (MOEAs) of the state of the art treat the decision variables of a multi-objective optimization problem (MOP) as a whole. However, when dealing with MOPs with a large number of decision variables (more than 100) their efficacy decreases as the number of decision variables of the MOP increases. Problem decomposition, in terms of decision variables, has been found to be extremely efficient and effective for solving large scale optimization problems. In this work, we study the effect of what we call ""operational decomposition"", which is a novel framework based on coevolutionary concepts to apply MOEAs's crossover operator without adding any extra cost. We investigate the improvements that NSGA-III can achieve when combined with operational decomposition. This new scheme is capable of improving efficiency of a MOEA when dealing with large scale MOPs having …",most multiobjective evolutionary algorithms moeas of the state of the art treat the decision variables of a multiobjective optimization problem mop as a whole however when dealing with mops with a large number of decision variables more than their efficacy decreases as the number of decision variables of the mop increases problem decomposition in terms of decision variables has been found to be extremely efficient and effective for solving large scale optimization problems in this work we study the effect of what we call operational decomposition which is a novel framework based on coevolutionary concepts to apply moeass crossover operator without adding any extra cost we investigate the improvements that nsgaiii can achieve when combined with operational decomposition this new scheme is capable of improving efficiency of a moea when dealing with large scale mops having,cs.AI
412,The basic circuit parameters that feature the electric performance in induction heating devices having an excitation axial winding as found in induction motors for generating rotary magnetic fields are mathematically modeled. The followed method for obtaining impedance parameters was based on main flux decomposition to partial fluxes along different regions that comprise the assembly. It includes the solution of electromagnetic diffusion equation for the conductive motionless work-piece. The modeled parameters for an induction-coupled system resembling an induction motor stator were compared to impedance data from trials on an experimental device at 60 Hz having one-paired -magnetic-pole configuration with a cylindrical insertion made of aluminum. The deviations between modeled and estimated parameters were lower than 5 %. Relatively high power factor and the inherent multi-layer configuration on …,the basic circuit parameters that feature the electric performance in induction heating devices having an excitation axial winding as found in induction motors for generating rotary magnetic fields are mathematically modeled the followed method for obtaining impedance parameters was based on main flux decomposition to partial fluxes along different regions that comprise the assembly it includes the solution of electromagnetic diffusion equation for the conductive motionless workpiece the modeled parameters for an inductioncoupled system resembling an induction motor stator were compared to impedance data from trials on an experimental device at hz having onepaired magneticpole configuration with a cylindrical insertion made of aluminum the deviations between modeled and estimated parameters were lower than relatively high power factor and the inherent multilayer configuration on,cs.SY
413,"It is necessary to reduce the fuel consumption and carbon dioxide (CO2) emissions of the Mexican transportation sector. Especially of heavy-duty vehicles which are those with a weight greater than 3.857 tons. In the United States of America (USA), although the heavy-duty vehicles fleet is only 10% of the whole transportation fleet, they emit the 20% of the CO2 emissions of the entire transportation sector. One of the most effective ways in the world to reduce fuel consumption and CO2 emissions is through federal regulations. Japan, USA, Canada and a few other countries have already implemented energy efficiency and/or CO2 emissions reduction regulations for heavy duty vehicles. The regulations push the manufacturers of new heavy-duty vehicles to generate technologies which reduce the fuel consumption and CO2 emissions. Developed countries have scientists and technologists to develop the necessary …",it is necessary to reduce the fuel consumption and carbon dioxide co emissions of the mexican transportation sector especially of heavyduty vehicles which are those with a weight greater than tons in the united states of america usa although the heavyduty vehicles fleet is only of the whole transportation fleet they emit the of the co emissions of the entire transportation sector one of the most effective ways in the world to reduce fuel consumption and co emissions is through federal regulations japan usa canada and a few other countries have already implemented energy efficiency andor co emissions reduction regulations for heavy duty vehicles the regulations push the manufacturers of new heavyduty vehicles to generate technologies which reduce the fuel consumption and co emissions developed countries have scientists and technologists to develop the necessary,cs.SY
414,"This study explores the anticipated transformations in Mexico’s higher education system as a response to the economic and technological shifts driven by trade tensions between the United States (US) and China. The research identifies strategies to bolster Mexico’s global competitiveness through education and science, focusing on reducing dependency on key imports—particularly from China—and promoting the development of advanced technologies. The primary objective of this analysis is to propose actionable measures to address the challenges posed by these trade tensions while leveraging the opportunities they present. Using a documentary research approach, the study examines a range of sources, including reports, case studies, and academic literature, with a particular focus on the automotive industry [1]. Comparative analyses of successful strategies in other countries, such as technology transfer …",this study explores the anticipated transformations in mexicos higher education system as a response to the economic and technological shifts driven by trade tensions between the united states us and china the research identifies strategies to bolster mexicos global competitiveness through education and science focusing on reducing dependency on key importsparticularly from chinaand promoting the development of advanced technologies the primary objective of this analysis is to propose actionable measures to address the challenges posed by these trade tensions while leveraging the opportunities they present using a documentary research approach the study examines a range of sources including reports case studies and academic literature with a particular focus on the automotive industry comparative analyses of successful strategies in other countries such as technology transfer,cs.SY
415,"In this work, it is proposed to detect communities that share attributes in common, based on the attributes that quantify the indicator of deficiency due to educational lag, which is proposed by the National Council for the Evaluation of Social Development Policy (CONEVAL) in its multidimensional poverty analysis methodology in Mexico. The data obtained to carry out this work were recovered from the databases generated by the National Institute of Statistics and Geography (INEGI) from the National Survey of Household Income and Expenditure in 2018 (ENIGH-2018). The proposed methodology consists of 1) recovering the data of the indicator of lack due to educational lag, 2) a characterization was carried out on each of the variables by states of the Mexican Republic, 3) a complex network model was generated for the indicator of deficiency analysed, 4) the complex network was analysed using a genetic …",in this work it is proposed to detect communities that share attributes in common based on the attributes that quantify the indicator of deficiency due to educational lag which is proposed by the national council for the evaluation of social development policy coneval in its multidimensional poverty analysis methodology in mexico the data obtained to carry out this work were recovered from the databases generated by the national institute of statistics and geography inegi from the national survey of household income and expenditure in enigh the proposed methodology consists of recovering the data of the indicator of lack due to educational lag a characterization was carried out on each of the variables by states of the mexican republic a complex network model was generated for the indicator of deficiency analysed the complex network was analysed using a genetic,cs.AI
416,"In this work, we study the mass distribution of two irregular galaxies, UGC 6446 and UGC 7524, by means of H i rotation curves derived from high-resolution H i velocity fields obtained through the Westerbork Synthesis Radio Telescope data archive. We constrain the stellar and gas content of both galaxies with stellar population synthesis models and by deriving the H i+He+metals rotation curves from the total H i surface density maps, respectively. The discrepancy between the circular velocity maxima of the stellar plus the H i+He+metals rotation curves and the observed H i rotation curves of both galaxies requires the inclusion of a substantial amount of dark matter. We explore the Navarro Frenk and White, Burkert, Di Cintio, Einasto and Stadel dark matter halo models. We obtain acceptable fits to the observed H i rotation curves of UGC 6446 and UGC 7524 with the cored Burkert, Einasto and Stadel …",in this work we study the mass distribution of two irregular galaxies ugc and ugc by means of h i rotation curves derived from highresolution h i velocity fields obtained through the westerbork synthesis radio telescope data archive we constrain the stellar and gas content of both galaxies with stellar population synthesis models and by deriving the h ihemetals rotation curves from the total h i surface density maps respectively the discrepancy between the circular velocity maxima of the stellar plus the h ihemetals rotation curves and the observed h i rotation curves of both galaxies requires the inclusion of a substantial amount of dark matter we explore the navarro frenk and white burkert di cintio einasto and stadel dark matter halo models we obtain acceptable fits to the observed h i rotation curves of ugc and ugc with the cored burkert einasto and stadel,cs.AI
417,"This paper describes the research methodology used to evaluate the usability, usefulness, acceptance of intelligent teaching system called ProgEst. This research was conducted with a qualitative approach to understanding and deepens the usability of the system from the perspective of the participants in a natural environment and in relation to the context. An approach to the concepts of vision-based interface with emphasis on facial expressions, establish patterns that allow identification of emotions as a source of nonverbal communication and visual description and identification is made. This is related to the usability metrics based on vision. We want to generate a degree of autonomy in our system using cognitive and visual emotions and events of the environment; allowing to have more information during the decision-making process in this case allows the choice of best strategies for interaction.",this paper describes the research methodology used to evaluate the usability usefulness acceptance of intelligent teaching system called progest this research was conducted with a qualitative approach to understanding and deepens the usability of the system from the perspective of the participants in a natural environment and in relation to the context an approach to the concepts of visionbased interface with emphasis on facial expressions establish patterns that allow identification of emotions as a source of nonverbal communication and visual description and identification is made this is related to the usability metrics based on vision we want to generate a degree of autonomy in our system using cognitive and visual emotions and events of the environment allowing to have more information during the decisionmaking process in this case allows the choice of best strategies for interaction,cs.AI
418,The development of some computational algorithms based on cellular automaton was described to simulate the structures formed during the solidification of steel products. The algorithms described take results from the steel thermal behavior and heat removal previously calculated using a simulator developed by present authors in a previous work. Stored time is used for displaying the steel transition from liquid to mushy and solid. And it is also used to command computational subroutines that reproduce nucleation and grain growth. These routines are logically programmed using the programming language C++ and are based on a simultaneous solution of numerical methods (stochastic and deterministic) to create a graphical representation of different grain structures formed. The grain structure obtained is displayed on the computer screen using a graphical user interface (GUI). The chaos theory and random …,the development of some computational algorithms based on cellular automaton was described to simulate the structures formed during the solidification of steel products the algorithms described take results from the steel thermal behavior and heat removal previously calculated using a simulator developed by present authors in a previous work stored time is used for displaying the steel transition from liquid to mushy and solid and it is also used to command computational subroutines that reproduce nucleation and grain growth these routines are logically programmed using the programming language c and are based on a simultaneous solution of numerical methods stochastic and deterministic to create a graphical representation of different grain structures formed the grain structure obtained is displayed on the computer screen using a graphical user interface gui the chaos theory and random,cs.NA
419,"Electron cyclotron heating (ECH) experiments in the Advanced Toroidal Facility (ATF) torsatron exploit unique capabilities for external control of the magnetic configuration and long‐pulse operation. The ECH power deposition profile is determined from the change of the electron temperature profiles during ECH power turn‐off and from power modulation. The measured dependence of absorbed power on the magnetic field agrees well with that obtained from ray tracing calculations for first‐pass and multiple‐bounce absorption. In ATF, parameters of basic physics interest (magnetic shear, magnetic well/hill, and contained trapped particle fraction) have been varied dynamically during a single long‐pulse (up to 20‐s) discharge (dynamic configuration control). Varying a single physics parameter while keeping others fixed elucidates the parameter’s influence on plasma behavior. Modulation of the magnetic well …",electron cyclotron heating ech experiments in the advanced toroidal facility atf torsatron exploit unique capabilities for external control of the magnetic configuration and longpulse operation the ech power deposition profile is determined from the change of the electron temperature profiles during ech power turnoff and from power modulation the measured dependence of absorbed power on the magnetic field agrees well with that obtained from ray tracing calculations for firstpass and multiplebounce absorption in atf parameters of basic physics interest magnetic shear magnetic wellhill and contained trapped particle fraction have been varied dynamically during a single longpulse up to s discharge dynamic configuration control varying a single physics parameter while keeping others fixed elucidates the parameters influence on plasma behavior modulation of the magnetic well,cs.SY
420,"The Mexican National System of Researchers in Mexico (SNI, in its Spanish Acronym) [1] started in the year of 1984, with the purpose that researchers (not only from the national institutes and laboratories of research and development, but also from the higher education institutions) stay working on science and technology during the deep economic crisis of the country during those years. That system has been one of the main programs of the National Council for Science and Technology (CONACYT, in its Spanish Acronym) which was created in the year of 1970. Since its beginnings, CONACYT prioritized the creation of basic science, leaving technology development to solve big national problems in second place. Therefore, the main products of the SNI have been published papers in magazines of varied qualities as it can be seen in the constant increment in the number of publications by the country. The most …",the mexican national system of researchers in mexico sni in its spanish acronym started in the year of with the purpose that researchers not only from the national institutes and laboratories of research and development but also from the higher education institutions stay working on science and technology during the deep economic crisis of the country during those years that system has been one of the main programs of the national council for science and technology conacyt in its spanish acronym which was created in the year of since its beginnings conacyt prioritized the creation of basic science leaving technology development to solve big national problems in second place therefore the main products of the sni have been published papers in magazines of varied qualities as it can be seen in the constant increment in the number of publications by the country the most,cs.AI
421,"This work analyzes and characterizes the spread of the COVID‐19 disease in Mexico, using complex networks and optimization approaches. Specifically, we present two methodologies based on the principle of the rupture for the GC and Newton's law of motion to quantify the robustness and identify the Mexican municipalities whose population causes a fast spread of the SARS‐CoV‐2 virus. Specifically, the first methodology is based on several characteristics of the original version of the Vertex Separator Problem (VSP), and the second is based on a new mathematical model (NLM). By solving VSP, we can find nodes that cause the rupture of the giant component (GC). On the other hand, solving the NLM can find more influential nodes for the entire system’s development. Specifically, we present an analysis using a coupled social network model with information about the main characteristics of the contagion and …",this work analyzes and characterizes the spread of the covid disease in mexico using complex networks and optimization approaches specifically we present two methodologies based on the principle of the rupture for the gc and newtons law of motion to quantify the robustness and identify the mexican municipalities whose population causes a fast spread of the sarscov virus specifically the first methodology is based on several characteristics of the original version of the vertex separator problem vsp and the second is based on a new mathematical model nlm by solving vsp we can find nodes that cause the rupture of the giant component gc on the other hand solving the nlm can find more influential nodes for the entire systems development specifically we present an analysis using a coupled social network model with information about the main characteristics of the contagion and,cs.NA
422,"Inverse percolation is known as the problem of finding the minimum set of nodes whose elimination of their links causes the rupture of the network. Inverse percolation has been widely used in various studies of single‐layer networks. However, the use and generalization of multiplex networks have been little considered. In this work, we propose a methodology based on inverse percolation to quantify the robustness of multiplex networks. Specifically, we present a modified version of the mathematical model for the multiplex‐vertex separator problem (m‐VSP). By solving the m‐VSP, we can find nodes that cause the rupture of the mutually connected giant component (MCGC) and the large viable cluster (LVC) when their links are removed from the network. The methodology presented in this work was tested in a set of benchmark networks, and as case study, we present an analysis using a set of multiplex social …",inverse percolation is known as the problem of finding the minimum set of nodes whose elimination of their links causes the rupture of the network inverse percolation has been widely used in various studies of singlelayer networks however the use and generalization of multiplex networks have been little considered in this work we propose a methodology based on inverse percolation to quantify the robustness of multiplex networks specifically we present a modified version of the mathematical model for the multiplexvertex separator problem mvsp by solving the mvsp we can find nodes that cause the rupture of the mutually connected giant component mcgc and the large viable cluster lvc when their links are removed from the network the methodology presented in this work was tested in a set of benchmark networks and as case study we present an analysis using a set of multiplex social,cs.NA
423,"In this chapter, we propose an approach to analyze the robustness in water distribution networks using temporal complex networks and the temporal vertex separator problem. Robustness is a fundamental property in water distribution networks as it ensures the supply of clean water even in the presence of failures or disruptions. However, evaluating robustness in these networks can be challenging due to their dynamic complexity and the presence of multiple interconnected components. To address this challenge, we propose an approach based on temporal complex networks, which enables modeling and analyzing the dynamic evolution of the water distribution network over time. By capturing the temporal aspects of the network, we gain a deeper understanding of its behavior and identify potential vulnerabilities. Furthermore, we employ the temporal vertex separator problem to identify critical nodes that, once …",in this chapter we propose an approach to analyze the robustness in water distribution networks using temporal complex networks and the temporal vertex separator problem robustness is a fundamental property in water distribution networks as it ensures the supply of clean water even in the presence of failures or disruptions however evaluating robustness in these networks can be challenging due to their dynamic complexity and the presence of multiple interconnected components to address this challenge we propose an approach based on temporal complex networks which enables modeling and analyzing the dynamic evolution of the water distribution network over time by capturing the temporal aspects of the network we gain a deeper understanding of its behavior and identify potential vulnerabilities furthermore we employ the temporal vertex separator problem to identify critical nodes that once,cs.SY
424,"The COVID-19 pandemic brought many changes to our daily activities, and one of the most affected fields was education. In Mexico, in particular, all levels had to adopt a distance learning modality using various resources. This modality lasted several years. In Mexico, educational institutions closed their doors in March 2020. Initially, this measure was expected to be short-term; however, it extended for almost two years. As a result, many students finished the previous level remotely and even began the next level also remotely. Distance education generated much controversy. While it was seen as an opportunity for students to continue their progress, there were also opinions that the training was inadequate, especially in an educational system that was not accustomed to this modality. The impact of having finished or mostly completed a previous level remotely is a phenomenon that has been analyzed …",the covid pandemic brought many changes to our daily activities and one of the most affected fields was education in mexico in particular all levels had to adopt a distance learning modality using various resources this modality lasted several years in mexico educational institutions closed their doors in march initially this measure was expected to be shortterm however it extended for almost two years as a result many students finished the previous level remotely and even began the next level also remotely distance education generated much controversy while it was seen as an opportunity for students to continue their progress there were also opinions that the training was inadequate especially in an educational system that was not accustomed to this modality the impact of having finished or mostly completed a previous level remotely is a phenomenon that has been analyzed,cs.CL
425,"Service Oriented Computing (SOC) has incrementally been adopted as the preferred programming paradigm for the development, integration and interoperation of large and complex information systems. However, despite its increasing popularity, the SOC has not achieved its full potential yet. This is mainly due to the lack of supporting tools to enrich and represent semantically Web service descriptions. This paper describes a solution approach for the automatic representation of Web service descriptions and their further semantic enrichment between operation names based on the calculation of four semantic similarity measures. The enrichment approach is accurate because the final decision is done through a voting scheme, in the case of inconsistent results, these are not asserted into the ontology. Experimentation shows that although few similarity relationships are found and asserted, they represent an …",service oriented computing soc has incrementally been adopted as the preferred programming paradigm for the development integration and interoperation of large and complex information systems however despite its increasing popularity the soc has not achieved its full potential yet this is mainly due to the lack of supporting tools to enrich and represent semantically web service descriptions this paper describes a solution approach for the automatic representation of web service descriptions and their further semantic enrichment between operation names based on the calculation of four semantic similarity measures the enrichment approach is accurate because the final decision is done through a voting scheme in the case of inconsistent results these are not asserted into the ontology experimentation shows that although few similarity relationships are found and asserted they represent an,cs.AI
426,"The Universidad Autónoma Metropolitana (UAM) is one of the largest and most prestigious public universities of Mexico. It has 5 campi, with a current total enrollment of 45 000 students and in 2012 had 4674 students graduated. The three oldest campi Azcapotzalco, Iztapalapa y Xochimilco are located in Mexico City and were built to attend 15000 students each and classes began in 1974. The Campi Cuajimalpa y Lerma were approved to be built in 2005 and 2009 respectively, but they do not have proper infrastructure yet. In this paper we show differences in the results of teaching among the oldest 3 campuses and try to explain their variations. Despite that the three campuses have the same sizes and budgets, the total number of students graduated since 1978 have been 63426, 38677 and 27963 from Xochimilco, Azcapotzalco and Iztapalapa respectively. While in Xochimilco the students take in average a little …",the universidad autnoma metropolitana uam is one of the largest and most prestigious public universities of mexico it has campi with a current total enrollment of students and in had students graduated the three oldest campi azcapotzalco iztapalapa y xochimilco are located in mexico city and were built to attend students each and classes began in the campi cuajimalpa y lerma were approved to be built in and respectively but they do not have proper infrastructure yet in this paper we show differences in the results of teaching among the oldest campuses and try to explain their variations despite that the three campuses have the same sizes and budgets the total number of students graduated since have been and from xochimilco azcapotzalco and iztapalapa respectively while in xochimilco the students take in average a little,cs.AI
427,"The Universidad Autónoma Metropolitana Campus Azcapotzalco (UAM-A) needs a much better planning because it is clear that its current institutional planning has not been effective. For example, in the year 2014 it had been planned for the UAM-A to increase the enrollment by 1000 students and to increase the number of freshmen by 300 students by the year of 2016. However, contrary to the planning, the results show that the enrollment decreased in the year of 2016 by 501 and the number of freshmen increased by 122 students. On acquiring extra land to extend the campus, the results are null. The failure in reaching these goals were also in obtaining extra funding for the university from other sources different from the yearly programmed governmental allocation. The main mistakes in planning have been that even though the goals were defined there were no strategies to attain them nor was there an annual …",the universidad autnoma metropolitana campus azcapotzalco uama needs a much better planning because it is clear that its current institutional planning has not been effective for example in the year it had been planned for the uama to increase the enrollment by students and to increase the number of freshmen by students by the year of however contrary to the planning the results show that the enrollment decreased in the year of by and the number of freshmen increased by students on acquiring extra land to extend the campus the results are null the failure in reaching these goals were also in obtaining extra funding for the university from other sources different from the yearly programmed governmental allocation the main mistakes in planning have been that even though the goals were defined there were no strategies to attain them nor was there an annual,cs.AI
428,"Fluid dynamics is a highly developed branch of science that has been the subject of continuous and expanding research activity both theoretically and experimentally for more than a century and a half. In particular, the relatively recent development of fluid dynamics has been strongly influenced by its numerous applications in a plethora of research fields as well as industrial and technological processes. Current research in physics, biology, engineering, medicine, and environmental sciences rely more and more on the use of the principles of fluid mechanics. While improvements to the nineteenth-century technologies were possible on the basis of common sense, the new technologies require the knowledge of fluid flow behavior under conditions that go beyond our everyday experience. This book presents recent experimental and theoretical advances in fluid dynamics applied to physics and engineering. It …",fluid dynamics is a highly developed branch of science that has been the subject of continuous and expanding research activity both theoretically and experimentally for more than a century and a half in particular the relatively recent development of fluid dynamics has been strongly influenced by its numerous applications in a plethora of research fields as well as industrial and technological processes current research in physics biology engineering medicine and environmental sciences rely more and more on the use of the principles of fluid mechanics while improvements to the nineteenthcentury technologies were possible on the basis of common sense the new technologies require the knowledge of fluid flow behavior under conditions that go beyond our everyday experience this book presents recent experimental and theoretical advances in fluid dynamics applied to physics and engineering it,cs.NA
429,"Simulation of a continuous casting process (CCP) is very important for improving industrial practices, reducing working times, and assuring safety operating conditions. The present work is focused on the development of a computational simulator to calculate and analyze heat removal during continuous casting of steel; routines for reading the geometrical configuration and operating conditions were developed for an easy management. Here, a finite difference method is used to solve the steel thermal behavior using a 2D computational array. Conduction, radiation, and forced convection equations are solved to simulate heat removal according to a steel position along the continuous casting machine. A graphical user interface (GUI) was also developed to display virtual sketches of the casting machines; moreover, computational facilities were programmed to show results such as temperature and solidification …",simulation of a continuous casting process ccp is very important for improving industrial practices reducing working times and assuring safety operating conditions the present work is focused on the development of a computational simulator to calculate and analyze heat removal during continuous casting of steel routines for reading the geometrical configuration and operating conditions were developed for an easy management here a finite difference method is used to solve the steel thermal behavior using a d computational array conduction radiation and forced convection equations are solved to simulate heat removal according to a steel position along the continuous casting machine a graphical user interface gui was also developed to display virtual sketches of the casting machines moreover computational facilities were programmed to show results such as temperature and solidification,cs.NA
430,"With the rapid expansion of digital newspapers, readers have an overwhelming amount of news available daily. However, it is difficult to keep track of the news that is only of interest to the reader or filtering those that belong to a specific topic or crime, eg assault or kidnapping. The main challenge is handling free texts from Spanish criminal news; however, deep learning has proposed models of representation and manipulation of natural language that help in this problem. Therefore, this chapter proposes the use of deep neural models to classify criminal news published by Mexican digital newspapers. The whole approach includes a word embedding model for representing the documents and several layers in neural networks to classify news text. We experiment with three deep neural models: Bidirectional LSTM, Attention Bidirectional LSTM and BERT-based model. According to the experimental results, our …",with the rapid expansion of digital newspapers readers have an overwhelming amount of news available daily however it is difficult to keep track of the news that is only of interest to the reader or filtering those that belong to a specific topic or crime eg assault or kidnapping the main challenge is handling free texts from spanish criminal news however deep learning has proposed models of representation and manipulation of natural language that help in this problem therefore this chapter proposes the use of deep neural models to classify criminal news published by mexican digital newspapers the whole approach includes a word embedding model for representing the documents and several layers in neural networks to classify news text we experiment with three deep neural models bidirectional lstm attention bidirectional lstm and bertbased model according to the experimental results our,cs.CL
431,"We present observations of the optical and X-ray emission from the Galactic supernova remnant W51C. From [S ii] Fabry–Pérot interferometry and H α and [S ii] images we detect filaments that are part of the optical counterpart of the supernova remnant. We obtain the kinematic distance to W51C, showing that it is one of the shortest distances reported in the literature. We also estimate other physical properties such as the velocity of the shock induced in the cloudlets emitted at optical wavelengths and the electron density of those cloudlets. From XMM–Newton observatory archival data, we obtain images of the diffuse X-ray emission of this supernova remnant. The spectrum of the X-ray emission is explored to estimate X-ray parameters such as luminosity and temperature of the hot plasma in the supernova remnant. We fit a thermal model with a plasma temperature of 1.4 keV for an X-ray thermal luminosity …",we present observations of the optical and xray emission from the galactic supernova remnant wc from s ii fabryprot interferometry and h and s ii images we detect filaments that are part of the optical counterpart of the supernova remnant we obtain the kinematic distance to wc showing that it is one of the shortest distances reported in the literature we also estimate other physical properties such as the velocity of the shock induced in the cloudlets emitted at optical wavelengths and the electron density of those cloudlets from xmmnewton observatory archival data we obtain images of the diffuse xray emission of this supernova remnant the spectrum of the xray emission is explored to estimate xray parameters such as luminosity and temperature of the hot plasma in the supernova remnant we fit a thermal model with a plasma temperature of kev for an xray thermal luminosity,cs.CV
432,"The post-pandemic educational processes due to Covid-19 have generated an interest in structuring new learning trends. The Autonomous Metropolitan University (UAM) Azcapotzalco identified the use of methodologies with digital tools known as virtual classrooms during the pandemic to continue academic activities. These digital tools are still being used in different academic programs, including undergraduate and postgraduate programs to promote the professionalism of the university community. This paper provides a general breakdown of the virtual classroom format as a methodology in the teaching-learning processes to improve the educational environment at a higher level and ensure educational sustainability through the innovation of new technologies and digital tools that can be applied at a national and international level. The expected results from this methodology are part of an improvement process …",the postpandemic educational processes due to covid have generated an interest in structuring new learning trends the autonomous metropolitan university uam azcapotzalco identified the use of methodologies with digital tools known as virtual classrooms during the pandemic to continue academic activities these digital tools are still being used in different academic programs including undergraduate and postgraduate programs to promote the professionalism of the university community this paper provides a general breakdown of the virtual classroom format as a methodology in the teachinglearning processes to improve the educational environment at a higher level and ensure educational sustainability through the innovation of new technologies and digital tools that can be applied at a national and international level the expected results from this methodology are part of an improvement process,cs.AI
433,"This paper explores the application of fuzzy cognitive maps (FCM) to emergency operating procedures (EOPS), to represent the decision-making process during abnormal situations in a nuclear power plant (NPP). The decision-making process in a NPP is a complex process, due to the many elements involved in its operation, and the permanent attention demanded by its maintenance. At the present time, the decision making process in a NPP is analyzed and developed by reactor operators, based on a set of instructions as well as flow charts to mitigate the consequences of a broad range of transients, accidents and multiple equipment failures, whose main characteristic is to be linear representations of events within a scenario. One of the main objectives of this paper is to present a method based in FCM that could be applied in the development of EOPS, and show some simulations, specifically the loss of coolant …",this paper explores the application of fuzzy cognitive maps fcm to emergency operating procedures eops to represent the decisionmaking process during abnormal situations in a nuclear power plant npp the decisionmaking process in a npp is a complex process due to the many elements involved in its operation and the permanent attention demanded by its maintenance at the present time the decision making process in a npp is analyzed and developed by reactor operators based on a set of instructions as well as flow charts to mitigate the consequences of a broad range of transients accidents and multiple equipment failures whose main characteristic is to be linear representations of events within a scenario one of the main objectives of this paper is to present a method based in fcm that could be applied in the development of eops and show some simulations specifically the loss of coolant,cs.AI
